Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,Id
48411,0.51,Very Good,E,VS1,61.8,54.7,1970,5.12,5.15,31.8,48410
24068,2.0,Premium,H,SI2,58.9,57.0,12210,8.09,58.9,8.06,24067
27416,5.01,Fair,J,I1,65.5,59.0,18018,10.74,10.54,6.98,27415
27131,4.13,Fair,H,I1,64.8,61.0,17329,10.0,9.85,6.43,27130
23645,3.65,Fair,H,I1,67.1,53.0,11668,9.53,9.48,6.38,23644
26445,4.0,Very Good,I,I1,63.3,58.0,15984,10.01,9.94,6.31,26444
26000,4.01,Premium,J,I1,62.5,62.0,15223,10.02,9.94,6.24,25999
25999,4.01,Premium,I,I1,61.0,61.0,15223,10.14,10.1,6.17,25998
26195,2.01,Fair,G,SI2,65.6,56.0,15562,7.89,7.84,6.16,26194
26535,3.67,Premium,I,I1,62.4,56.0,16193,9.86,9.81,6.13,26534
27680,3.51,Premium,J,VS2,62.5,59.0,18701,9.66,9.63,6.03,27679
24329,3.5,Ideal,H,I1,62.8,57.0,12587,9.65,9.59,6.03,24328
21759,3.11,Fair,J,I1,65.9,57.0,9823,9.15,9.02,5.98,21758
19347,3.0,Fair,H,I1,67.1,57.0,8044,8.93,8.84,5.97,19346
24298,3.22,Ideal,I,I1,62.6,55.0,12545,9.49,9.42,5.92,24297
22541,3.02,Fair,I,I1,65.2,56.0,10577,9.11,9.02,5.91,22540
27516,3.01,Fair,I,SI2,65.8,56.0,18242,8.99,8.94,5.9,27515
27517,3.01,Fair,I,SI2,65.8,56.0,18242,8.99,8.94,5.9,27516
26745,3.01,Ideal,J,I1,65.4,60.0,16538,8.99,8.93,5.86,26744
23540,3.0,Good,E,I1,64.2,65.0,11548,9.08,8.96,5.79,23539
27518,3.01,Good,I,SI2,63.9,60.0,18242,9.06,9.01,5.77,27517
27519,3.01,Good,I,SI2,63.9,60.0,18242,9.06,9.01,5.77,27518
17197,2.72,Fair,J,I1,68.2,56.0,6870,8.46,8.43,5.76,17196
26101,3.04,Very Good,I,SI2,63.2,59.0,15354,9.14,9.07,5.75,26100
21863,3.01,Premium,F,I1,62.2,56.0,9925,9.24,9.13,5.73,21862
26934,3.0,Fair,I,SI2,64.8,59.0,16970,8.93,8.73,5.72,26933
22429,3.05,Premium,E,I1,60.9,58.0,10453,9.26,9.25,5.66,22428
27639,3.04,Premium,I,SI2,59.3,60.0,18559,9.51,9.46,5.62,27638
25461,3.01,Premium,G,SI2,59.8,58.0,14220,9.44,9.37,5.62,25460
27515,3.01,Premium,I,SI2,60.2,59.0,18242,9.36,9.31,5.62,27514
27066,2.74,Very Good,H,SI2,63.3,58.0,17184,8.88,8.84,5.61,27065
26933,3.0,Premium,I,SI2,60.7,59.0,16970,9.3,9.14,5.6,26932
27686,3.01,Premium,J,SI2,59.7,58.0,18710,9.41,9.32,5.59,27685
24817,3.0,Premium,G,I1,59.7,60.0,13203,9.42,9.26,5.58,24816
21567,2.68,Very Good,I,I1,63.5,56.0,9665,8.81,8.77,5.58,21566
27617,2.66,Good,H,SI2,64.3,60.0,18495,8.71,8.65,5.58,27616
24276,2.58,Fair,F,SI2,65.2,59.0,12500,8.58,8.51,5.57,24275
25730,2.5,Fair,J,SI2,66.9,58.0,14652,8.36,8.22,5.55,25729
27673,2.67,Good,F,SI2,63.8,58.0,18686,8.69,8.64,5.54,27672
26957,2.6,Fair,G,SI2,64.6,57.0,17027,8.6,8.55,5.54,26956
25193,2.61,Good,I,SI2,64.2,63.0,13784,8.66,8.57,5.53,25192
25238,2.52,Fair,H,SI2,65.4,59.0,13846,8.49,8.42,5.53,25237
20298,2.5,Fair,G,I1,65.1,59.0,8711,8.55,8.39,5.53,20297
27164,2.64,Ideal,H,SI2,62.3,55.0,17407,8.88,8.83,5.52,27163
25851,3.0,Good,J,SI2,59.3,64.0,14918,9.32,9.19,5.5,25850
26909,2.63,Ideal,J,SI2,62.1,57.0,16914,8.83,8.88,5.5,26908
26609,2.54,Very Good,H,SI2,63.5,56.0,16353,8.68,8.65,5.5,26608
27562,2.6,Ideal,J,SI2,62.5,56.0,18369,8.81,8.76,5.49,27561
27613,2.57,Premium,J,SI1,63.0,58.0,18485,8.77,8.65,5.49,27612
27162,2.5,Fair,F,SI2,65.8,58.0,17405,8.38,8.31,5.49,27161
27017,2.71,Premium,E,SI2,60.4,59.0,17146,9.13,9.03,5.48,27016
26130,2.75,Premium,H,SI2,60.5,61.0,15415,8.99,8.97,5.48,26129
26536,2.58,Premium,H,SI2,62.6,57.0,16195,8.77,8.73,5.48,26535
24864,2.5,Fair,H,SI2,64.9,58.0,13278,8.46,8.43,5.48,24863
22414,2.63,Very Good,J,I1,62.3,61.0,10437,8.76,8.81,5.47,22413
22579,2.63,Premium,J,I1,62.3,61.0,10628,8.81,8.76,5.47,22578
26006,2.56,Good,J,SI2,63.6,62.0,15231,8.62,8.57,5.47,26005
26119,2.54,Very Good,I,SI2,63.5,58.0,15394,8.67,8.56,5.47,26118
19082,2.5,Fair,G,I1,64.7,57.0,7854,8.48,8.44,5.47,19081
17692,2.27,Fair,G,I1,68.6,56.0,7131,7.99,7.94,5.47,17691
27025,2.74,Very Good,J,SI2,61.5,62.0,17164,8.87,8.9,5.46,27024
26916,2.53,Premium,J,SI2,62.6,57.0,16934,8.77,8.67,5.46,26915
27136,2.54,Ideal,G,SI2,62.7,56.0,17339,8.75,8.67,5.46,27135
26887,2.51,Very Good,J,SI1,63.8,55.0,16842,8.51,8.6,5.46,26886
25628,2.5,Ideal,J,SI2,64.0,55.0,14502,8.56,8.48,5.46,25627
23581,2.72,Ideal,H,I1,59.6,55.0,11594,9.17,9.13,5.45,23580
26593,2.65,Premium,G,SI2,62.0,61.0,16314,8.82,8.75,5.45,26592
27523,2.53,Premium,H,SI1,62.1,59.0,18254,8.83,8.73,5.45,27522
